frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
105.7,W289BT,COLEBROOK,NH,NDIR,0.095,44.87822222222222,71.48041666666667,D,NEW HAMPSHIRE PUBLIC RADIO,-48.4,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,
106.5,W293AB,KEENE,NH,DRL,0.15,42.91591666666667,72.33063888888888,D,THE PENGUIN,,"Great Eastern Radio, LLC",Adult Hits,
106.7,W294AB,HANOVER,NH,NDIR,0.013,43.65463888888889,72.29441666666666,D,THE PENGUIN,,"Great Eastern Radio, LLC",Adult Hits,Lebanon-Hanover-White River Junction
106.1,W294AZ,BERLIN,NH,NDIR,0.175,44.48283333333333,71.17672222222222,D,KISS 102.3,,"CUPID BROADCASTING, LLC",Hot AC,
106.9,W295BL,MANCHESTER,NH,DRL,0.25,42.99286111111111,71.46338888888889,D,THE OUTLAW,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Country,Boston
107.3,W297BS,LACONIA,NH,NDIR,0.25,43.55258333333333,71.57869444444444,D,THE PULSE OF NH,,"WBIN MEDIA CO., INC.",News/Talk,Concord
107.5,W298BT,KEENE,NH,DRL,0.25,42.930638888888886,72.29952777777778,D,EZ FAVORITES 100.3/107.5,-92.6,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Soft AC,
107.5,W298CS,LITTLETON,NH,DRL,0.25,44.41116666666667,71.96980555555555,D,THE GOLDEN GREAT 98,,"PROFILE BROADCASTING, L.L.C.",Oldies,Montpelier-Barre-Saint Johnsbury
107.7,W299AM,LEBANON,NH,NDIR,0.02,43.65508333333333,72.29452777777777,D,99 ROCK,76.8,"LISBON COMMUNICATIONS, INC.",Rock,Lebanon-Hanover-White River Junction
107.9,W300DN,BERLIN,NH,NDIR,0.25,44.48227777777778,71.17644444444444,D,KISS 102.3,,"RADIOTRON, LLC",Hot AC,
102.3,WAKC,CONCORD,NH,NDIR,3.5,43.21608333333334,71.57461111111111,A,K-LOVE,87.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Concord
